NO,Tanggal,Kurs,Return
704,30/11/2018,14339,-0.00480051
705,03/12/2018,14252,-0.00608585
706,04/12/2018,14293,0.002872659
707,05/12/2018,14383,0.006277047
708,06/12/2018,14507,0.008584338
709,07/12/2018,14539,0.002203402
710,10/12/2018,14517,-0.001514317
711,11/12/2018,14613,0.006591167
712,12/12/2018,14577,-0.002466599
713,13/12/2018,14536,-0.002816613
714,14/12/2018,14538,0.00013758
715,17/12/2018,14617,0.005419324
716,18/12/2018,14523,-0.006451635
717,19/12/2018,14380,-0.009895247
718,20/12/2018,14499,0.008241329
719,21/12/2018,14480,-0.001311295
720,26/12/2018,14602,0.008390119
721,27/12/2018,14563,-0.00267444
722,28/12/2018,14542,-0.001443051
723,31/12/2018,14481,-0.004203569
724,02/01/2019,14465,-0.001105507
725,03/01/2019,14474,0.000621998
726,04/01/2019,14350,-0.008603994
727,07/01/2019,14105,-0.017220598
728,08/01/2019,14031,-0.005260177
729,09/01/2019,14120,0.006323065
730,10/01/2019,14093,-0.001914012
731,11/01/2019,14076,-0.001207001
732,14/01/2019,14052,-0.001706485
733,15/01/2019,14084,0.002274667
734,16/01/2019,14154,0.004957868
735,17/01/2019,14158,0.000282566
736,18/01/2019,14182,0.00169372
737,21/01/2019,14212,0.002113123
738,22/01/2019,14221,0.000633067
739,23/01/2019,14188,-0.002323208
740,24/01/2019,14141,-0.003318158
741,25/01/2019,14163,0.001554551
742,28/01/2019,14038,-0.008864992
743,29/01/2019,14098,0.004265005
744,30/01/2019,14112,0.000992556
745,31/01/2019,14072,-0.002838492
746,01/02/2019,13978,-0.006702342
747,04/02/2019,13976,-0.000143092
748,06/02/2019,13947,-0.002077141
749,07/02/2019,13978,0.002220234
750,08/02/2019,13992,0.001001073
751,11/02/2019,13995,0.000214385
752,12/02/2019,14088,0.006623248
